route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url
6911,HSL,911,Kauklahti-Masala-Kirkkonummi,,701,http://aikataulut.hsl.fi/linjat/fi/b911.html
7190,HSL,190,Helsinki-Länsiväylä-Jorvaksentie (-Inkoo),,700,http://aikataulut.hsl.fi/linjat/fi/b190.html
7190K,HSL,190K,Helsinki-Länsiväylä-Kirkkonummi (-Inkoo),,700,http://aikataulut.hsl.fi/linjat/fi/b190K.html
7280,HSL,280,Helsinki-Turunväylä-Veikkola-,,700,http://aikataulut.hsl.fi/linjat/fi/b280.html
7346,HSL,346,Helsinki-Kalajärvi-(Vihti),,700,http://aikataulut.hsl.fi/linjat/fi/b346.html
7355,HSL,355,Helsinki-Klaukkala,,700,http://aikataulut.hsl.fi/linjat/fi/b355.html
7355T,HSL,355T,Helsinki-Klaukkala,,700,http://aikataulut.hsl.fi/linjat/fi/b355T.html
7455,HSL,455,Kamppi-Keimola-Luhtaanmäki (-Klaukkala),,700,http://aikataulut.hsl.fi/linjat/fi/u_455-487.html
7456,HSL,456,Kamppi-Keimola-Luhtaanmäki (-Klaukkala),,700,http://aikataulut.hsl.fi/linjat/fi/u_455-487.html
7457,HSL,457,Kamppi-Keimola-Luhtaanmäki (-Klaukkala),,700,http://aikataulut.hsl.fi/linjat/fi/u_455-487.html
7465,HSL,465,Kamppi-Keimola-Syväoja,,700,http://aikataulut.hsl.fi/linjat/fi/u_465_485.html
7480,HSL,480,Kamppi-Keimola-Luhtaanmäki (-Klaukkala),,700,http://aikataulut.hsl.fi/linjat/fi/u_455-487.html
7485,HSL,485,Kamppi-Keimola-Syväoja (-Hyvinkää),,700,http://aikataulut.hsl.fi/linjat/fi/u_465_485.html
7486,HSL,486,Kamppi-Keimola-Luhtaanmäki (-Klaukkala),,700,http://aikataulut.hsl.fi/linjat/fi/u_455-487.html
7632,HSL,632,Helsinki-Aviapolis-Myllykylä-Kerava,,700,http://aikataulut.hsl.fi/linjat/fi/b632.html
7632B,HSL,632B,Helsinki-Aviapolis-Myllykylä-Hyrylä,,700,http://aikataulut.hsl.fi/linjat/fi/b632B.html
7635,HSL,635,Helsinki-Maantiekylä-Kerava,,700,http://aikataulut.hsl.fi/linjat/fi/b635.html
7635B,HSL,635B,Helsinki-Maantiekylä (-Hyrylä),,700,http://aikataulut.hsl.fi/linjat/fi/b635B.html
7635BZ,HSL,635BZ,Helsinki-Maantiekylä-Hyrylä,,700,http://aikataulut.hsl.fi/linjat/fi/b635BZ.html
